2000 2000
909 846 207313820
1092 1179 287814642
15 2 70112200
1151 1093 960310184
459 495 461436543
177 261 538867092
1063 993 290547899
1739 1799 524430532
272 291 470736973
1076 1056 38687511
1339 1328 508585372
905 1015 943482109
484 390 697308203
363 396 334751929
1126 1144 997517551
464 569 144270379
1463 1506 562001379
497 562 8097743
481 463 757744438
968 882 973124513
627 761 444278861
520 618 280876998
1335 1342 952266619
247 300 810555016
783 592 690395528
1286 1370 279676810
475 346 385316625
1075 1052 216526493
613 669 581009246
1601 1538 554093838
807 788 418572634
1315 1305 590262379
931 962 989404478
794 730 705718842
1163 1016 540534112
1760 1727 262884205
268 343 67799451
546 480 267227648
538 474 700670635
765 789 768354955
147 186 770187884
808 829 819402782
133 167 989270403
378 437 70127125
61 3 15493160
1916 1961 8307280
165 81 789533470
241 139 109316204
1058 1023 367535498
236 174 225404470
41 136 303949317
1416 1388 310964794
858 842 125457414
1247 1229 413701484
825 798 3251102
67 129 151543598
1826 1769 180599801
993 868 369841321
1056 983 245674607
1581 1594 702281481
1499 1579 871311708
111 78 679753245
53 12 317275193
1772 1879 891221647
770 699 165456760
1964 1871 68368570
1683 1705 520417827
339 420 588578761
1710 1783 393582829
679 750 115592536
1158 1237 527153342
1698 1594 28853091
366 468 565335091
727 508 533063784
1335 1404 724144841
1517 1293 872650070
479 497 844025167
1662 1699 376156587
1907 1830 266818031
419 514 250981427
1930 2000 920781943
472 559 453573741
1248 1276 388032093
1907 1927 233834148
22 51 545124971
39 50 689319749
901 778 181426060
552 537 163536190
1418 1455 580621896
330 504 779934403
451 258 954207199
1258 1352 259825272
673 577 240447103
1610 1568 774520068
1080 1167 796245408
209 227 946498261
67 18 980444882
173 193 20578065
1362 1501 367677450
1617 1546 805068830
366 252 882127987
1889 1911 766402457
1388 1252 50018320
1114 943 451466948
263 301 551366666
1867 1800 457338451
1105 936 949592865
782 813 917708305
1399 1365 502278018
1753 1830 113090876
1812 1784 3639111
1129 1021 781534227
349 400 700531025
501 597 743022421
869 889 450579272
27 194 705599187
159 195 727411770
1679 1810 410610444
618 625 647809052
503 170 242295678
1427 1282 387807882
1991 1899 521708274
1775 1865 678813142
1125 1262 458486747
306 327 807091647
913 1096 870986616
1161 1113 43418785
1374 1303 327294531
578 435 818454507
856 958 646623089
1265 1285 853421955
1936 1892 40145687
909 771 164318536
146 82 93024563
1385 1611 112971959
1083 1019 886312572
1537 1703 385768560
1784 1868 500103463
1954 1794 661259471
551 554 9893960
1700 1719 45586792
1093 1055 955598118
1718 1673 549170221
1851 1978 68044256
1736 1712 608052252
822 812 995604810
855 734 936263356
703 840 720039709
1519 1649 185129887
1063 1126 174682908
28 90 957213874
1595 1544 923554821
1272 1322 31997940
529 430 188506333
367 371 35088428
607 711 98878274
630 627 855425347
1609 1508 810561834
793 790 485547727
722 764 297122656
1779 1831 771205703
230 239 396014703
766 819 953363214
1962 1910 29356603
1175 1200 409432441
1485 1553 523322874
55 121 486944543
1577 1466 492094504
1365 1212 804496252
1173 1178 35523429
1235 1373 459433770
753 946 625196187
753 610 786152791
1500 1497 412617738
485 371 598340868
1298 1379 444535457
915 902 104114765
336 147 601403190
834 945 980878496
582 636 335928454
1620 1586 850177626
634 714 949134709
717 685 897888120
1321 1426 818021399
1954 1937 341487374
139 84 600249570
1796 1870 130135776
496 437 931406379
36 116 479592452
1901 1873 644290322
1073 1002 886932646
1816 1895 822927303
442 518 889224622
1095 915 736874790
992 858 649852991
1483 1428 210252772
1974 1991 57925331
1840 1711 788252113
1242 1327 765642238
1892 1786 432115337
14 31 939104386
1230 1391 107053947
845 887 884065851
1425 1428 819254941
1453 1391 733810158
1222 1176 509118977
184 12 829631572
1113 1108 246085878
1855 1805 25308982
190 234 956267559
1530 1468 265197681
1106 1182 298921844
62 63 146325920
1670 1791 405625730
982 945 441662803
329 375 35223475
1693 1834 868434286
1478 1344 59480441
1923 1973 496029225
1412 1421 448184764
1215 1177 723134311
236 325 397896363
1449 1510 344171631
1806 1635 785254586
1065 1058 246673684
1755 1694 462704872
1747 1830 360440529
